344f01d1-4a22-eb11-a813-000d3a8ff3da,80,118906,143
81477d12-8122-eb11-a813-000d3a9a17cb,100,355900,150
e08148a5-8b22-eb11-a813-0022481ed81f,90,356118,49
df8148a5-8b22-eb11-a813-0022481ed81f,80,356120,49
0a7922ac-8c22-eb11-a813-000d3a4f658a,100,356102,276
ebf2f9ab-8c22-eb11-a813-000d3a4f6c1a,90,356121,276
e091fa04-8d22-eb11-a813-000d3a9bbaba,100,356114,313
bda4d073-9e22-eb11-a813-0022481ed81f,90,356240,150
62edf379-9e22-eb11-a813-0022481ed81f,80,344655,49
92e9098e-a622-eb11-a813-0022481ed81f,80,347052,31
81f1010f-b122-eb11-a813-0022481ed81f,80,356842,49
18e6e038-d922-eb11-a813-000d3a8ff3da,100,206334,695
9e01d93e-d922-eb11-a813-0022481ed81f,89,206371,695
e4bf463c-d922-eb11-a813-000d3a8ff659,89,206373,695
cbda8aa4-da22-eb11-a813-000d3a9a17cb,100,206334,695
f3e839a3-da22-eb11-a813-000d3a1a53ff,89,206373,695
e6da8aa4-da22-eb11-a813-000d3a9a17cb,89,206371,695
cdbe9bfe-e622-eb11-a813-000d3a1a53ff,89,222081,695
a08e7a02-e722-eb11-a813-0022481ed81f,89,222090,695
5c4e9d23-0323-eb11-a813-000d3a8ff659,100,357961,153
db0aa523-0323-eb11-a813-000d3a8ff3da,90,152862,153
514c0528-0323-eb11-a813-000d3a1a53ff,100,357966,153
af0ba523-0323-eb11-a813-000d3a8ff3da,100,357967,153
c80ba523-0323-eb11-a813-000d3a8ff3da,100,357968,153
b3c0bb6c-0323-eb11-a813-000d3a4f6c1a,90,357961,150
1addbed9-4823-eb11-a813-000d3a8ff3da,80,358001,49
7667e2a1-4d23-eb11-a813-000d3a4f658a,100,358023,153
9bd3ddbf-4d23-eb11-a813-000d3a4f658a,100,358023,51
65e0937a-4f23-eb11-a813-000d3a1a53ff,80,358011,49
51e1c6eb-6023-eb11-a813-0022481ed81f,100,358201,153
a62c549f-6123-eb11-a813-000d3a8ff3da,90,254532,49
